Pair Name,Liquidity,Volume,Hash
BOTTO-ETH,"$2,123,219","$1,948",0x9ff68f61ca5eb0c6606dc517a9d44001e564bb66
ETH-CULT,"$2,122,966","$35,107",0x5281e311734869c64ca60ef047fd87759397efe6
FLUT-DAI,"$2,116,987",$0,0xe532b04d2f2e921dfec69e132e9214d2f82df304
STARL-ETH,"$2,096,464","$189,824",0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e
DOGE-USDT,"$2,069,382","$5,052",0xfcd13ea0b906f2f87229650b8d93a51b2e839ebd
BAD-ETH,"$2,056,342","$2,142,187",0x29c830864930c897efa2b9e9851342187b82010e
ASTO-USDC,"$2,031,740","$8,103",0x11181bd3baf5ce2a478e98361985d42625de35d1
WSM-ETH,"$1,898,562","$1,123,949",0xacfc50ec5fe0fd039e83380b8ab343b77a49704f
OSAK-ETH,"$1,889,271","$16,626",0x05c024b441d2c288c2729b484bd4bcef3596aa51
GF-ETH,"$1,855,293","$10,235",0x2f0b1417aa42ebf0b4ca1154212847f6094d708d
AUDIO-ETH,"$1,847,495","$8,909",0xc730ef0f4973da9cc0ab8ab291890d3e77f58f79
WDOGE-ETH,"$1,801,084",$0,0xc3d7aa944105d3fafe07fc1822102449c916a8d0
ETH-DETS,"$1,792,068",$0,0xaf21b0ec0197e63a5c6cc30c8e947eb8165c6212
DOGE-ETH,"$1,789,506","$5,040",0xc0067d751fb1172dbab1fa003efe214ee8f419b6
imgnAI-ETH,"$1,707,806","$11,136",0xe471f93c2be15b64e9ec63bbf485446cb934e8c4
KOO-ETH,"$1,699,617",$0,0x9af0f334f9f451ce9e650278e56fec212f35cec1
VOLT-ETH,"$1,679,696","$246,802",0x96aa22baedc5a605357e0b9ae20ab6b10a472e03
LINK-ETH,"$1,652,976","$29,888",0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
X2Y2-ETH,"$1,610,420","$8,741",0x6033368e4a402605294c91cf5c03d72bd96e7d8d
POLS-ETH,"$1,606,616","$10,609",0xffa98a091331df4600f87c9164cd27e8a5cd2405
LFT-ETH,"$1,560,140",$0,0x9c84f58bb51fabd18698efe95f5bab4f33e96e8f
MKR-ETH,"$1,506,521","$24,653",0xc2adda861f89bbb333c90c492cb837741916a225
FILST-USDT,"$1,465,559","$1,250",0xa2f6a219a51b4682e34a13a94c160d6c79cdca35
DJ15-ETH,"$1,426,228",$0,0x6a164da2cdae5f1836c8fe6d683c3df4a0a65e5c
KDOE-ETH,"$1,391,248",$608.76,0xdd8f50f1059c50d7d75fe2f5d7d262964fb2ae98
ETH-HyPC,"$1,390,795","$346,792",0xcc0fcd959871e69f84fe9464c629f327941b655b
Dubbz-ETH,"$1,380,155","$79,135",0x063e913f23d2314d75962871b10eecf48c539046
ETH-GEKKO,"$1,337,150","$1,057",0xda2d09fbbf8ee4b5051a0e9b562c5fcb4b393b18
DAI-HEZ,"$1,307,950",$0,0x9bd82673c50acb4a3b883d61e070a3c8d9b08e10
EVN-ETH,"$1,279,999",$96.17,0x29f07e631a2f990e1f6117c6285a44e746b1f090
ECO-USDC,"$1,274,136",$637.12,0x09bc52b9eb7387ede639fc10ce5fa01cbcbf2b17
PAXG-USDC,"$1,254,008","$32,554",0x6d74443bb2d50785989a7212ebfd3a8dbabd1f60
RAI-ETH,"$1,252,840","$8,544",0x8ae720a71622e824f576b4a8c03031066548a3b1
CORE-ETH,"$1,242,788","$10,907",0x32ce7e48debdccbfe0cd037cc89526e4382cb81b
ETH-CUMINU,"$1,226,980","$36,957",0x7b412f141996411401f57e2ba1bc2235af807d4d
USDC-fUSDC,"$1,223,860",$0,0x4161fa43eaa1ac3882aeed12c5fc05249e533e67
